
=== GCTNet | bruit Hybrid | epochs 100 | batch 128 ===
[GCTNet] epoch 1/100  train_mse 0.1705  val_mse 0.1620  test_mse 0.1654
[GCTNet] epoch 2/100  train_mse 0.1232  val_mse 0.1340  test_mse 0.1382
[GCTNet] epoch 3/100  train_mse 0.0993  val_mse 0.1159  test_mse 0.1198
[GCTNet] epoch 4/100  train_mse 0.0853  val_mse 0.1051  test_mse 0.1087
[GCTNet] epoch 5/100  train_mse 0.0764  val_mse 0.0990  test_mse 0.1027
[GCTNet] epoch 6/100  train_mse 0.0679  val_mse 0.0928  test_mse 0.0962
[GCTNet] epoch 7/100  train_mse 0.0603  val_mse 0.0866  test_mse 0.0903
[GCTNet] epoch 8/100  train_mse 0.0550  val_mse 0.0821  test_mse 0.0864
[GCTNet] epoch 9/100  train_mse 0.0498  val_mse 0.0820  test_mse 0.0858
[GCTNet] epoch 10/100  train_mse 0.0472  val_mse 0.0786  test_mse 0.0823
[GCTNet] epoch 11/100  train_mse 0.0426  val_mse 0.0842  test_mse 0.0874
[GCTNet] epoch 12/100  train_mse 0.0391  val_mse 0.0739  test_mse 0.0772
[GCTNet] epoch 13/100  train_mse 0.0355  val_mse 0.0683  test_mse 0.0718
[GCTNet] epoch 14/100  train_mse 0.0330  val_mse 0.0737  test_mse 0.0763
[GCTNet] epoch 15/100  train_mse 0.0303  val_mse 0.0678  test_mse 0.0711
[GCTNet] epoch 16/100  train_mse 0.0280  val_mse 0.0646  test_mse 0.0677
[GCTNet] epoch 17/100  train_mse 0.0264  val_mse 0.0663  test_mse 0.0692
[GCTNet] epoch 18/100  train_mse 0.0245  val_mse 0.0638  test_mse 0.0673
[GCTNet] epoch 19/100  train_mse 0.0231  val_mse 0.0714  test_mse 0.0743
[GCTNet] epoch 20/100  train_mse 0.0220  val_mse 0.0693  test_mse 0.0731
[GCTNet] epoch 21/100  train_mse 0.0206  val_mse 0.0616  test_mse 0.0655
[GCTNet] epoch 22/100  train_mse 0.0198  val_mse 0.0695  test_mse 0.0739
[GCTNet] epoch 23/100  train_mse 0.0190  val_mse 0.0629  test_mse 0.0662
[GCTNet] epoch 24/100  train_mse 0.0181  val_mse 0.0613  test_mse 0.0650
[GCTNet] epoch 25/100  train_mse 0.0174  val_mse 0.0596  test_mse 0.0629
[GCTNet] epoch 26/100  train_mse 0.0168  val_mse 0.0596  test_mse 0.0633
[GCTNet] epoch 27/100  train_mse 0.0162  val_mse 0.0595  test_mse 0.0634
[GCTNet] epoch 28/100  train_mse 0.0157  val_mse 0.0625  test_mse 0.0665
[GCTNet] epoch 29/100  train_mse 0.0156  val_mse 0.0627  test_mse 0.0666
[GCTNet] epoch 30/100  train_mse 0.0147  val_mse 0.0614  test_mse 0.0648
[GCTNet] epoch 31/100  train_mse 0.0145  val_mse 0.0597  test_mse 0.0639
[GCTNet] epoch 32/100  train_mse 0.0139  val_mse 0.0584  test_mse 0.0622
[GCTNet] epoch 33/100  train_mse 0.0147  val_mse 0.0619  test_mse 0.0657
[GCTNet] epoch 34/100  train_mse 0.0132  val_mse 0.0604  test_mse 0.0644
[GCTNet] epoch 35/100  train_mse 0.0133  val_mse 0.0660  test_mse 0.0676
[GCTNet] epoch 36/100  train_mse 0.0125  val_mse 0.0598  test_mse 0.0640
[GCTNet] epoch 37/100  train_mse 0.0123  val_mse 0.0585  test_mse 0.0623
[GCTNet] epoch 38/100  train_mse 0.0122  val_mse 0.0595  test_mse 0.0639
[GCTNet] epoch 39/100  train_mse 0.0119  val_mse 0.0597  test_mse 0.0639
[GCTNet] epoch 40/100  train_mse 0.0117  val_mse 0.0603  test_mse 0.0646
